method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,resource,end_time,cycle_time,data,queue_start,run,scenario,queue_style,variant_count,count_preset,activity_total,qc_pass,hetero
FIFO,18,0,5059.71657100194,variant_13,0.28,START,1432,START,,,,{},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5059.71657100194,variant_13,0.28,queued,1432,MOULDING,,,,{},5059.71657100194,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5059.71657100194,variant_13,0.28,running,1432,MOULDING,MOULDING_MACHINE_4,5062.484770354095,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5061.532386426337,variant_18,0.28,START,1433,START,,,,{},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5061.532386426337,variant_18,0.28,queued,1433,MOULDING,,,,{},5061.532386426337,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5061.532386426337,variant_18,0.28,running,1433,MOULDING,MOULDING_MACHINE_2,5065.109849820729,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5062.484770354095,variant_13,0.28,gateway,1432,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5062.484770354095,variant_13,0.28,queued,1432,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_4'},5062.484770354095,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5062.484770354095,variant_13,0.28,running,1432,ASSEMBLY_1,LINE_ASSEMBLY1_2,5067.426097544523,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5065.109849820729,variant_18,0.28,gateway,1433,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_2'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5065.109849820729,variant_18,0.28,queued,1433,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_2'},5065.109849820729,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5065.109849820729,variant_18,0.28,running,1433,ASSEMBLY_1,LINE_ASSEMBLY1_5,5068.396059655932,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5065.389553122049,variant_7,0.28,START,1434,START,,,,{},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5065.389553122049,variant_7,0.28,queued,1434,MOULDING,,,,{},5065.389553122049,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5065.389553122049,variant_7,0.28,running,1434,MOULDING,MOULDING_MACHINE_1,5067.982956930448,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5065.549690603144,variant_1,0.28,START,1435,START,,,,{},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5065.549690603144,variant_1,0.28,queued,1435,MOULDING,,,,{},5065.549690603144,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5065.549690603144,variant_1,0.28,running,1435,MOULDING,MOULDING_MACHINE_3,5067.526271980606,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5067.426097544523,variant_13,0.28,gateway,1432,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5067.426097544523,variant_13,0.28,queued,1432,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_4'},5067.426097544523,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5067.526271980606,variant_1,0.28,gateway,1435,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_3'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5067.526271980606,variant_1,0.28,queued,1435,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_3'},5067.526271980606,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5067.526271980606,variant_1,0.28,running,1435,ASSEMBLY_1,LINE_ASSEMBLY1_4,5070.339352641124,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5067.982956930448,variant_7,0.28,gateway,1434,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_1'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5067.982956930448,variant_7,0.28,queued,1434,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_1'},5067.982956930448,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5067.982956930448,variant_7,0.28,running,1434,ASSEMBLY_1,LINE_ASSEMBLY1_3,5078.916987366889,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5068.345968708542,variant_3,0.28,START,1436,START,,,,{},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5068.345968708542,variant_3,0.28,queued,1436,MOULDING,,,,{},5068.345968708542,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5068.345968708542,variant_3,0.28,running,1436,MOULDING,MOULDING_MACHINE_5,5068.429885151554,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5068.396059655932,variant_18,0.28,gateway,1433,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_2'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5068.396059655932,variant_18,0.28,queued,1433,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_2'},5068.396059655932,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5068.429885151554,variant_3,0.28,gateway,1436,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_5'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5068.429885151554,variant_3,0.28,queued,1436,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_5'},5068.429885151554,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5068.429885151554,variant_3,0.28,running,1436,ASSEMBLY_1,LINE_ASSEMBLY1_1,5085.811728565084,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5069.887374094168,variant_4,0.28,START,1437,START,,,,{},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5069.887374094168,variant_4,0.28,queued,1437,MOULDING,,,,{},5069.887374094168,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5069.887374094168,variant_4,0.28,running,1437,MOULDING,MOULDING_MACHINE_4,5081.159469339924,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5070.339352641124,variant_1,0.28,gateway,1435,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_3'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5070.339352641124,variant_1,0.28,queued,1435,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_3'},5070.339352641124,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5078.916987366889,variant_7,0.28,gateway,1434,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_1'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5078.916987366889,variant_7,0.28,queued,1434,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_1'},5078.916987366889,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5081.159469339924,variant_4,0.28,gateway,1437,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5081.159469339924,variant_4,0.28,queued,1437,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_4'},5081.159469339924,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5081.159469339924,variant_4,0.28,running,1437,ASSEMBLY_1,LINE_ASSEMBLY1_2,5086.600148736783,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5085.811728565084,variant_3,0.28,gateway,1436,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_5'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5085.811728565084,variant_3,0.28,queued,1436,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_5'},5085.811728565084,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5086.600148736783,variant_4,0.28,gateway,1437,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5086.600148736783,variant_4,0.28,queued,1437,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_4'},5086.600148736783,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5088.38875899706,variant_14,0.28,START,1438,START,,,,{},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5088.38875899706,variant_14,0.28,queued,1438,MOULDING,,,,{},5088.38875899706,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5088.38875899706,variant_14,0.28,running,1438,MOULDING,MOULDING_MACHINE_2,5095.5584558338505,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5088.42398364734,variant_18,0.28,START,1439,START,,,,{},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5088.42398364734,variant_18,0.28,queued,1439,MOULDING,,,,{},5088.42398364734,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5088.42398364734,variant_18,0.28,running,1439,MOULDING,MOULDING_MACHINE_3,5096.858111658313,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5093.092236089571,variant_1,0.28,START,1440,START,,,,{},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5093.092236089571,variant_1,0.28,queued,1440,MOULDING,,,,{},5093.092236089571,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5093.092236089571,variant_1,0.28,running,1440,MOULDING,MOULDING_MACHINE_1,5098.264630569212,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5093.120528080845,variant_18,0.28,START,1441,START,,,,{},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5093.120528080845,variant_18,0.28,queued,1441,MOULDING,,,,{},5093.120528080845,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5093.120528080845,variant_18,0.28,running,1441,MOULDING,MOULDING_MACHINE_5,5094.349571722741,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5094.349571722741,variant_18,0.28,gateway,1441,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_5'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5094.349571722741,variant_18,0.28,queued,1441,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_5'},5094.349571722741,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5094.349571722741,variant_18,0.28,running,1441,ASSEMBLY_1,LINE_ASSEMBLY1_5,5100.611966205674,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5094.926609895259,variant_6,0.28,START,1442,START,,,,{},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5094.926609895259,variant_6,0.28,queued,1442,MOULDING,,,,{},5094.926609895259,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5094.926609895259,variant_6,0.28,running,1442,MOULDING,MOULDING_MACHINE_4,5097.172571086241,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5095.5584558338505,variant_14,0.28,gateway,1438,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_2'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5095.5584558338505,variant_14,0.28,queued,1438,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_2'},5095.5584558338505,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5095.5584558338505,variant_14,0.28,running,1438,ASSEMBLY_1,LINE_ASSEMBLY1_4,5105.387988770983,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5095.616896533053,variant_13,0.28,running,1432,ASSEMBLY_2,ASSEMBLY2_LINE_1,5099.568880285721,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5096.054820151514,variant_15,0.28,START,1443,START,,,,{},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5096.054820151514,variant_15,0.28,queued,1443,MOULDING,,,,{},5096.054820151514,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5096.054820151514,variant_15,0.28,running,1443,MOULDING,MOULDING_MACHINE_5,5096.066618558222,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5096.066618558222,variant_15,0.28,gateway,1443,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_5'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5096.066618558222,variant_15,0.28,queued,1443,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_5'},5096.066618558222,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5096.066618558222,variant_15,0.28,running,1443,ASSEMBLY_1,LINE_ASSEMBLY1_3,5104.920436779343,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5096.394552124282,variant_1,0.28,START,1444,START,,,,{},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5096.394552124282,variant_1,0.28,queued,1444,MOULDING,,,,{},5096.394552124282,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5096.394552124282,variant_1,0.28,running,1444,MOULDING,MOULDING_MACHINE_2,5099.48744032035,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5096.858111658313,variant_18,0.28,gateway,1439,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_3'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5096.858111658313,variant_18,0.28,queued,1439,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_3'},5096.858111658313,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5096.858111658313,variant_18,0.28,running,1439,ASSEMBLY_1,LINE_ASSEMBLY1_1,5101.080660753706,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5097.172571086241,variant_6,0.28,gateway,1442,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5097.172571086241,variant_6,0.28,queued,1442,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_4'},5097.172571086241,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5097.172571086241,variant_6,0.28,running,1442,ASSEMBLY_1,LINE_ASSEMBLY1_2,5100.853805722401,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5097.572562900949,variant_1,0.28,START,1445,START,,,,{},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5097.572562900949,variant_1,0.28,queued,1445,MOULDING,,,,{},5097.572562900949,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5097.572562900949,variant_1,0.28,running,1445,MOULDING,MOULDING_MACHINE_5,5099.887284536918,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5098.264630569212,variant_1,0.28,gateway,1440,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_1'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5098.264630569212,variant_1,0.28,queued,1440,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_1'},5098.264630569212,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5099.48744032035,variant_1,0.28,gateway,1444,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_2'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5099.48744032035,variant_1,0.28,queued,1444,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_2'},5099.48744032035,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5099.568880285721,variant_13,0.28,gateway,1432,QC_AFTER_A2,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5099.568880285721,variant_13,0.28,queued,1432,SORTING,,,,{'moulding_lane': 'ASSEMBLY_1_4'},5099.568880285721,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5099.568880285721,variant_18,0.28,running,1433,ASSEMBLY_2,ASSEMBLY2_LINE_1,5106.817655092069,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5099.887284536918,variant_1,0.28,gateway,1445,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_5'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5099.887284536918,variant_1,0.28,queued,1445,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_5'},5099.887284536918,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5100.611966205674,variant_18,0.28,gateway,1441,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_5'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5100.611966205674,variant_18,0.28,queued,1441,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_5'},5100.611966205674,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5100.611966205674,variant_1,0.28,running,1440,ASSEMBLY_1,LINE_ASSEMBLY1_5,5103.812783895053,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5100.853805722401,variant_6,0.28,gateway,1442,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5100.853805722401,variant_6,0.28,queued,1442,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_4'},5100.853805722401,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5100.853805722401,variant_1,0.28,running,1444,ASSEMBLY_1,LINE_ASSEMBLY1_2,5105.481200643202,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5101.080660753706,variant_18,0.28,gateway,1439,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_3'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5101.080660753706,variant_18,0.28,queued,1439,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_3'},5101.080660753706,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5101.080660753706,variant_1,0.28,running,1445,ASSEMBLY_1,LINE_ASSEMBLY1_1,5110.692528338313,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5103.474872172007,variant_1,0.28,running,1435,ASSEMBLY_2,ASSEMBLY2_LINE_2,5103.592044373527,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5103.592044373527,variant_1,0.28,gateway,1435,QC_AFTER_A2,,,,{'moulding_lane': 'ASSEMBLY_1_3'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5103.592044373527,variant_1,0.28,queued,1435,SORTING,,,,{'moulding_lane': 'ASSEMBLY_1_3'},5103.592044373527,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5103.592044373527,variant_7,0.28,running,1434,ASSEMBLY_2,ASSEMBLY2_LINE_2,5107.10813371029,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5103.812783895053,variant_1,0.28,gateway,1440,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_1'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5103.812783895053,variant_1,0.28,queued,1440,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_1'},5103.812783895053,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5104.920436779343,variant_15,0.28,gateway,1443,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_5'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5104.920436779343,variant_15,0.28,queued,1443,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_5'},5104.920436779343,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5105.387988770983,variant_14,0.28,gateway,1438,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_2'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5105.387988770983,variant_14,0.28,queued,1438,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_2'},5105.387988770983,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5105.481200643202,variant_1,0.28,gateway,1444,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_2'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5105.481200643202,variant_1,0.28,queued,1444,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_2'},5105.481200643202,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5106.817655092069,variant_18,0.28,gateway,1433,QC_AFTER_A2,,,,{'moulding_lane': 'ASSEMBLY_1_2'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5106.817655092069,variant_18,0.28,queued,1433,SORTING,,,,{'moulding_lane': 'ASSEMBLY_1_2'},5106.817655092069,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5106.817655092069,variant_3,0.28,running,1436,ASSEMBLY_2,ASSEMBLY2_LINE_1,5109.597250885857,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5107.074628998945,variant_7,0.28,START,1446,START,,,,{},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5107.074628998945,variant_7,0.28,queued,1446,MOULDING,,,,{},5107.074628998945,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5107.074628998945,variant_7,0.28,running,1446,MOULDING,MOULDING_MACHINE_3,5111.387838735556,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5107.10813371029,variant_7,0.28,gateway,1434,QC_AFTER_A2,,,,{'moulding_lane': 'ASSEMBLY_1_1'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5107.10813371029,variant_7,0.28,queued,1434,SORTING,,,,{'moulding_lane': 'ASSEMBLY_1_1'},5107.10813371029,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5107.10813371029,variant_4,0.28,running,1437,ASSEMBLY_2,ASSEMBLY2_LINE_2,5109.473366658564,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5109.473366658564,variant_4,0.28,gateway,1437,QC_AFTER_A2,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5109.473366658564,variant_4,0.28,queued,1437,SORTING,,,,{'moulding_lane': 'ASSEMBLY_1_4'},5109.473366658564,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5109.473366658564,variant_18,0.28,running,1441,ASSEMBLY_2,ASSEMBLY2_LINE_2,5110.302020299043,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5109.597250885857,variant_3,0.28,gateway,1436,QC_AFTER_A2,,,,{'moulding_lane': 'ASSEMBLY_1_5'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5109.597250885857,variant_3,0.28,queued,1436,SORTING,,,,{'moulding_lane': 'ASSEMBLY_1_5'},5109.597250885857,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5109.597250885857,variant_6,0.28,running,1442,ASSEMBLY_2,ASSEMBLY2_LINE_1,5109.602148781903,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5109.602148781903,variant_6,0.28,gateway,1442,QC_AFTER_A2,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5109.602148781903,variant_6,0.28,queued,1442,SORTING,,,,{'moulding_lane': 'ASSEMBLY_1_4'},5109.602148781903,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5109.602148781903,variant_18,0.28,running,1439,ASSEMBLY_2,ASSEMBLY2_LINE_1,5141.199921389711,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5110.302020299043,variant_18,0.28,gateway,1441,QC_AFTER_A2,,,,{'moulding_lane': 'ASSEMBLY_1_5'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5110.302020299043,variant_18,0.28,queued,1441,SORTING,,,,{'moulding_lane': 'ASSEMBLY_1_5'},5110.302020299043,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5110.692528338313,variant_1,0.28,gateway,1445,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_5'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5110.692528338313,variant_1,0.28,queued,1445,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_5'},5110.692528338313,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5111.17491989821,variant_16,0.28,START,1447,START,,,,{},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5111.17491989821,variant_16,0.28,queued,1447,MOULDING,,,,{},5111.17491989821,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5111.17491989821,variant_16,0.28,running,1447,MOULDING,MOULDING_MACHINE_4,5112.025776784542,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5111.387838735556,variant_7,0.28,gateway,1446,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_3'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5111.387838735556,variant_7,0.28,queued,1446,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_3'},5111.387838735556,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5111.387838735556,variant_7,0.28,running,1446,ASSEMBLY_1,LINE_ASSEMBLY1_5,5125.300050983751,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5111.6274205443,variant_10,0.28,START,1448,START,,,,{},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5111.6274205443,variant_10,0.28,queued,1448,MOULDING,,,,{},5111.6274205443,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5111.6274205443,variant_10,0.28,running,1448,MOULDING,MOULDING_MACHINE_1,5123.0809159497685,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5112.025776784542,variant_16,0.28,gateway,1447,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5112.025776784542,variant_16,0.28,queued,1447,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_4'},5112.025776784542,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5112.025776784542,variant_16,0.28,running,1447,ASSEMBLY_1,LINE_ASSEMBLY1_3,5128.049567990702,,,,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5112.588717638536,variant_10,0.28,START,1449,START,,,,{},,0,experiment,pooled,18,C1,8,0.97,identical
FIFO,18,0,5112.588717638536,variant_10,0.28,queued,1449,MOULDING,,,,{},5112.588717638536,0,experiment,pooled,18,C1,8,0.97,identical
